6060151,HDR,11/14/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/19/2023 05:00:01 AM
6043824,HDR,09/25/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,12/19/2023 05:00:01 AM
6049047,HDR,10/30/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6050992,HDR,11/07/2023,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6043176,HDR,09/19/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,12/19/2023 05:00:01 AM
6045058,HDR,10/05/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,12/19/2023 05:00:01 AM
6042870,HDR,09/16/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6048114,HDR,10/26/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,12/19/2023 05:00:01 AM
6045877,HDR,10/13/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,12/19/2023 05:00:01 AM
6060498,HDR,11/16/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6046417,HDR,10/18/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6061960,HDR,12/01/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6045437,HDR,10/10/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/19/2023 05:00:01 AM
6060778,HDR,11/19/2023,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6061350,HDR,11/25/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6056779,HDR,11/10/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,12/19/2023 05:00:01 AM
6062424,HDR,12/05/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6045431,HDR,10/09/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6050521,HDR,11/06/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/19/2023 05:00:01 AM
6050393,HDR,11/04/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,12/19/2023 05:00:01 AM
6063372,HDR,12/15/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6044051,HDR,09/26/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6062174,HDR,12/03/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6062873,HDR,12/10/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6043190,HDR,09/19/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6046286,HDR,10/17/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/19/2023 05:00:01 AM
6063475,HDR,12/16/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
6042821,HDR,09/15/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,12/19/2023 05:00:01 AM
6050396,HDR,11/04/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,12/19/2023 05:00:01 AM
6061597,HDR,11/27/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,12/19/2023 05:00:01 AM
6061060,HDR,11/22/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,12/19/2023 05:00:01 AM
6061317,HDR,11/25/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/19/2023 05:00:01 AM
